Entry,Species,Instance,Nature,Item,Move 1,Move 2,Move 3,Move 4,Possible Ability,EVs (HP/Atk/Def/SpA/SpD/Spe),Level 100 stats,Lv 100 speed,Level 50 stats,Lv 50 Speed,Fixed IVs (Brains only)
392,Raichu,1,Modest,BrightPowder,Thunderbolt,Quick Attack,Light Screen,Double Team,Static, 0 / 0 /170/170/ 0 /170,261/194/188/283/196/278,278,135/99/96/144/100/141,141,
393,Dewgong,1,Quiet,NeverMeltIce,Ice Beam,Icy Wind,Headbutt,Fake Out,Thick Fat,255/ 0 / 0 /255/ 0 / 0 ,384/176/196/262/226/158,158,197/90/100/134/115/81,81,
394,Manectric,1,Modest,Magnet,Thunderbolt,Flash,Quick Attack,Roar,Static / Lightningrod, 0 / 0 / 0 /255/ 0 /255,281/167/156/339/156/309,309,145/85/80/172/80/157,157,
395,Vileplume,1,Impish,Persim Berry,Sludge Bomb,Petal Dance,Moonlight,Aromatherapy,Chlorophyll,255/255/ 0 / 0 / 0 / 0 ,354/259/226/212/216/136,136,182/132/116/108/110/70,70,
396,Victreebel,1,Quiet,Sitrus Berry,Giga Drain,Sleep Powder,Sweet Scent,Synthesis,Chlorophyll, 0 / 0 /255/ 0 /255/ 0 ,301/246/229/259/219/158,158,155/125/117/132/112/81,81,
397,Electrode,1,Quiet,Focus Band,Thunderbolt,Swift,Light Screen,Protect,Soundproof / Static,255/ 0 / 0 /255/ 0 / 0 ,324/136/176/284/196/284,284,167/70/90/145/100/144,144,
398,Exploud,1,Impish,Chesto Berry,Hyper Voice,Shadow Ball,Sleep Talk,Rest,Soundproof,255/255/ 0 / 0 / 0 / 0 ,412/281/178/196/162/172,172,211/143/91/100/83/88,88,
399,Shiftry,1,Quiet,Miracle Seed,Giga Drain,Faint Attack,Quick Attack,Fake Out,Chlorophyll / Early Bird, 0 / 0 /170/170/170/ 0 ,321/236/198/283/198/176,176,165/120/101/144/101/90,90,
400,Glalie,1,Modest,Petaya Berry,Ice Beam,Crunch,Hail,Protect,Inner Focus,255/ 0 / 0 /255/ 0 / 0 ,364/176/196/284/196/196,196,187/90/100/145/100/100,100,
401,Ludicolo,1,Quiet,Shell Bell,Surf,Rain Dance,ThunderPunch,Fire Punch,Swift Swim / Rain Dish,170/ 0 /170/170/ 0 / 0 ,343/176/218/283/236/158,158,176/90/111/144/120/81,81,
402,Hypno,1,Quiet,TwistedSpoon,ThunderPunch,Fire Punch,Ice Punch,Hypnosis,Insomnia, 0 / 0 /255/255/ 0 / 0 ,311/182/239/269/266/153,153,160/93/122/137/135/78,78,
403,Golem,1,Adamant,Quick Claw,Earthquake,Body Slam,Counter,Rock Tomb,Rock Head / Sturdy, 0 /255/ 0 / 0 /255/ 0 ,301/350/296/131/229/126,126,155/178/150/67/117/65,65,
404,Rhydon,1,Adamant,Quick Claw,Earthquake,Rock Tomb,Scary Face,Brick Break,Lightningrod / Rock Head,170/170/ 0 / 0 /170/ 0 ,393/371/276/113/168/116,116,201/188/140/58/86/60,60,
405,Alakazam,1,Modest,Focus Band,ThunderPunch,Fire Punch,Ice Punch,Thunder Wave,Synchronize / Inner Focus, 0 / 0 /255/255/ 0 / 0 ,251/122/189/405/206/276,276,130/63/97/205/105/140,140,
406,Weezing,1,Adamant,BrightPowder,Sludge Bomb,Will-O-Wisp,Shadow Ball,SmokeScreen,Levitate,255/255/ 0 / 0 / 0 / 0 ,334/306/276/185/176/156,156,172/156/140/94/90/80,80,
407,Kangaskhan,1,Adamant,Focus Band,Dizzy Punch,Brick Break,Counter,Fake Out,Early Bird,255/255/ 0 / 0 / 0 / 0 ,414/317/196/104/196/216,216,212/161/100/54/100/110,110,
408,Electabuzz,1,Relaxed,Cheri Berry,Thunderbolt,Thunder Wave,Brick Break,Light Screen,Static,170/ 0 /170/170/ 0 / 0 ,313/202/211/268/206/221,221,161/103/108/136/105/112,112,
409,Tauros,1,Adamant,Persim Berry,Earthquake,Thrash,Swagger,Facade,Intimidate, 0 /255/ 0 / 0 / 0 /255,291/328/226/104/176/319,319,150/167/115/54/90/162,162,
410,Slowbro,1,Quiet,Shell Bell,Surf,Rain Dance,Headbutt,Ice Punch,Oblivious / Own Tempo,255/ 0 / 0 / 0 /255/ 0 ,394/186/256/259/259/86,86,202/95/130/132/132/45,45,
411,Slowking,1,Quiet,Leftovers,Psychic,Brick Break,Amnesia,Attract,Oblivious / Own Tempo,255/ 0 /255/ 0 / 0 / 0 ,394/186/259/259/256/86,86,202/95/132/132/130/45,45,
412,Miltank,1,Careful,Focus Band,Facade,Shadow Ball,Counter,Milk Drink,Thick Fat,170/ 0 /170/ 0 /170/ 0 ,373/196/288/104/239/236,236,191/100/146/54/122/120,120,
413,Altaria,1,Docile,Cheri Berry,Dragon Claw,Aerial Ace,Refresh,Body Slam,Natural Cure,255/255/ 0 / 0 / 0 / 0 ,354/239/216/176/246/196,196,182/122/110/90/125/100,100,
414,Nidoqueen,1,Adamant,Focus Band,Sludge Bomb,Double Kick,Body Slam,Counter,Poison Point,255/255/ 0 / 0 / 0 / 0 ,384/289/210/167/206/188,188,197/147/107/85/105/96,96,
415,Nidoking,1,Adamant,Quick Claw,Horn Drill,Double Kick,Body Slam,Counter,Poison Point,255/255/ 0 / 0 / 0 / 0 ,366/311/190/185/186/206,206,188/158/97/94/95/105,105,
416,Magmar,1,Relaxed,Rawst Berry,Flamethrower,SmokeScreen,Brick Break,Barrier,Flame Body,170/ 0 /170/170/ 0 / 0 ,313/226/211/278/206/199,199,161/115/108/141/105/102,102,
417,Cradily,1,Relaxed,Leftovers,Giga Drain,Rock Slide,Barrier,Confuse Ray,Suction Cups,170/ 0 /170/ 0 /170/ 0 ,355/198/299/198/292/109,109,182/101/152/101/148/57,57,
418,Armaldo,1,Adamant,Scope Lens,Slash,Aerial Ace,AncientPower,Protect,Battle Armor,255/255/ 0 / 0 / 0 / 0 ,354/383/236/158/196/126,126,182/194/120/81/100/65,65,
419,Golduck,1,Quiet,Shell Bell,Hydro Pump,Dig,Brick Break,Light Screen,Damp / Cloud Nine, 0 /255/ 0 /255/ 0 / 0 ,301/263/192/317/196/185,185,155/134/98/161/100/94,94,
420,Rapidash,1,Quiet,Charcoal,Flamethrower,Double Kick,Quick Attack,Protect,Run Away / Flash Fire, 0 / 0 / 0 /255/ 0 /255,271/236/176/284/196/278,278,140/120/90/145/100/141,141,
421,Muk,1,Adamant,Poison Barb,Sludge Bomb,Body Slam,Screech,Minimize,Stench / Sticky Hold,255/255/ 0 / 0 / 0 / 0 ,414/339/186/149/236/136,136,212/172/95/76/120/70,70,
469,Dugtrio,2,Adamant,King's Rock,Earthquake,AncientPower,Aerial Ace,Tri Attack,Sand Veil / Arena Trap, 0 /255/ 0 / 0 / 0 /255,211/284/136/122/176/339,339,110/145/70/63/90/172,172,
423,Ampharos,1,Relaxed,Magnet,Thunder,Rain Dance,Thunder Wave,Attract,Static,255/ 0 / 0 /255/ 0 / 0 ,384/186/204/329/216/131,131,197/95/105/167/110/67,67,
424,Scizor,1,Adamant,Focus Band,Metal Claw,Aerial Ace,Counter,Quick Attack,Swarm, 0 /255/ 0 / 0 /255/ 0 ,281/394/236/131/259/166,166,145/200/120/67/132/85,85,
425,Heracross,1,Adamant,Focus Band,Megahorn,Brick Break,Rock Tomb,Counter,Swarm / Guts, 0 /255/255/ 0 / 0 / 0 ,301/383/249/104/226/206,206,155/194/127/54/115/105,105,
426,Ursaring,1,Docile,Quick Claw,Mega Kick,Crunch,Aerial Ace,Counter,Guts,170/170/ 0 /170/ 0 / 0 ,363/338/186/228/186/146,146,186/171/95/116/95/75,75,
427,Houndoom,1,Quirky,Focus Band,Flamethrower,Shadow Ball,Counter,Will-O-Wisp,Early Bird / Flash Fire, 0 /170/ 0 /170/ 0 /170,291/258/136/298/196/268,268,150/131/70/151/100/136,136,
428,Donphan,1,Adamant,Chesto Berry,Earthquake,AncientPower,Swagger,Rest,Sturdy,255/255/ 0 / 0 / 0 / 0 ,384/372/276/140/156/136,136,197/189/140/72/80/70,70,
429,Claydol,1,Adamant,Lum Berry,Earthquake,Rock Slide,Swagger,Psych Up,Levitate,255/255/ 0 / 0 / 0 / 0 ,324/262/246/158/276/186,186,167/134/125/81/140/95,95,
430,Wailord,1,Sassy,Shell Bell,Surf,Icy Wind,Body Slam,Roar,Water Veil / Oblivious,170/ 0 /170/ 0 /170/ 0 ,523/216/168/216/184/140,140,266/110/86/110/95/72,72,
431,Ninetales,1,Modest,Rawst Berry,Flamethrower,Roar,Confuse Ray,Will-O-Wisp,Flash Fire, 0 / 0 / 0 /255/ 0 /255,287/169/186/287/236/299,299,148/86/95/146/120/152,152,
432,Machamp,1,Adamant,Scope Lens,Cross Chop,Rock Slide,Counter,Scary Face,Guts,255/255/ 0 / 0 / 0 / 0 ,384/394/196/149/206/146,146,197/200/100/76/105/75,75,
433,Shuckle,1,Brave,Chesto Berry,Rollout,Defense Curl,Sleep Talk,Rest,Sturdy, 0 / 0 /255/ 0 /255/ 0 ,181/61/559/56/559/41,41,95/33/282/30/282/22,22,
434,Steelix,1,Adamant,Sitrus Berry,Earthquake,DragonBreath,Rock Tomb,Roar,Rock Head / Sturdy, 0 /255/ 0 / 0 /255/ 0 ,291/295/436/131/229/96,96,150/150/220/67/117/50,50,
435,Tentacruel,1,Impish,Persim Berry,Sludge Bomb,Icy Wind,Barrier,Confuse Ray,Clear Body / Liquid Ooze, 0 /255/255/ 0 / 0 / 0 ,301/239/251/176/276/236,236,155/122/128/90/140/120,120,
565,Dugtrio,3,Adamant,King's Rock,Earthquake,Double-Edge,Sludge Bomb,Fissure,Sand Veil / Arena Trap, 0 /255/ 0 / 0 / 0 /255,211/284/136/122/176/339,339,110/145/70/63/90/172,172,
437,Porygon2,1,Adamant,Leftovers,Tri Attack,Aerial Ace,Shadow Ball,Recover,Trace,255/255/ 0 / 0 / 0 / 0 ,374/284/216/221/226/156,156,192/145/110/112/115/80,80,
438,Gardevoir,1,Timid,Leftovers,Dream Eater,Hypnosis,Magical Leaf,Reflect,Synchronize / Trace,170/ 0 /170/ 0 / 0 /170,319/149/208/286/266/261,261,164/76/106/145/135/133,133,
439,Exeggutor,1,Quiet,Quick Claw,SolarBeam,Sunny Day,Synthesis,Light Screen,Chlorophyll, 0 / 0 /255/ 0 /255/ 0 ,331/226/269/314/229/131,131,170/115/137/160/117/67,67,
440,Starmie,1,Modest,Shell Bell,Psychic,Confuse Ray,Thunder Wave,Recover,Illuminate / Natural Cure,255/ 0 / 0 /255/ 0 / 0 ,324/167/206/328/206/266,266,167/85/105/167/105/135,135,
441,Flygon,1,Adamant,BrightPowder,Earthquake,Steel Wing,Faint Attack,Facade,Levitate, 0 /255/ 0 / 0 / 0 /255,301/328/196/176/196/299,299,155/167/100/90/100/152,152,
442,Venusaur,1,Quiet,Chesto Berry,Giga Drain,Sunny Day,Synthesis,Sleep Powder,Overgrow,255/ 0 / 0 /255/ 0 / 0 ,364/200/202/328/236/176,176,187/102/103/167/120/90,90,
443,Vaporeon,1,Modest,Mystic Water,Surf,Roar,Bite,Quick Attack,Water Absorb, 0 / 0 /170/170/170/ 0 ,401/149/198/327/268/166,166,205/76/101/166/136/85,85,
661,Dugtrio,4,Adamant,King's Rock,Earthquake,Double-Edge,Rock Slide,Fissure,Sand Veil / Arena Trap, 0 /255/ 0 / 0 / 0 /255,211/284/136/122/176/339,339,110/145/70/63/90/172,172,
445,Flareon,1,Modest,Sitrus Berry,Flamethrower,Roar,Bite,Sand-Attack,Flash Fire, 0 / 0 /255/255/ 0 / 0 ,271/266/219/317/256/166,166,140/135/112/161/130/85,85,
446,Meganium,1,Modest,BrightPowder,SolarBeam,Sunny Day,Light Screen,Synthesis,Overgrow,255/ 0 / 0 /255/ 0 / 0 ,364/180/236/291/236/196,196,187/92/120/148/120/100,100,
447,Espeon,1,Modest,Lum Berry,Psychic,Charm,Calm Mind,Baton Pass,Synchronize, 0 / 0 /170/ 0 /170/170,271/149/198/325/268/298,298,140/76/101/165/136/151,151,
448,Umbreon,1,Bold,BrightPowder,Confuse Ray,Faint Attack,Double Team,Baton Pass,Synchronize,170/ 0 /170/ 0 /170/ 0 ,373/149/327/156/338/166,166,191/76/166/80/171/85,85,
449,Blastoise,1,Modest,Shell Bell,Hydro Pump,Rain Dance,Bite,Seismic Toss,Torrent,255/ 0 / 0 /255/ 0 / 0 ,362/181/236/295/246/192,192,186/93/120/150/125/98,98,
450,Feraligatr,1,Quiet,Lum Berry,Surf,Rain Dance,Aerial Ace,Roar,Torrent,170/ 0 / 0 /170/170/ 0 ,353/246/236/259/244/172,172,181/125/120/132/124/88,88,
451,Aggron,1,Adamant,Quick Claw,Iron Tail,Earthquake,Aerial Ace,Roar,Sturdy / Rock Head,255/255/ 0 / 0 / 0 / 0 ,344/350/396/140/156/136,136,177/178/200/72/80/70,70,
452,Blaziken,1,Docile,Quick Claw,Flamethrower,Sunny Day,Double Kick,Roar,Blaze, 0 /255/ 0 /255/ 0 / 0 ,301/339/176/319/176/196,196,155/172/90/162/90/100,100,
453,Walrein,1,Quiet,Leftovers,Blizzard,Hail,Yawn,Protect,Thick Fat,170/ 0 /170/ 0 /170/ 0 ,403/196/258/248/258/149,149,206/100/131/127/131/76,76,
422,Gengar,1,Timid,Leftovers,Dream Eater,Hypnosis,Confuse Ray,Attract,Levitate,170/ 0 / 0 /170/ 0 /170,303/149/156/338/186/327,327,156/76/80/171/95/166,166,
455,Charizard,1,Modest,Focus Band,Fire Blast,Sunny Day,Roar,Scary Face,Blaze, 0 / 0 / 0 /255/ 0 /255,297/183/192/348/206/299,299,153/94/98/177/105/152,152,
456,Typhlosion,1,Modest,Focus Band,Fire Blast,Sunny Day,SmokeScreen,Roar,Blaze, 0 / 0 / 0 /255/ 0 /255,297/183/192/348/206/299,299,153/94/98/177/105/152,152,
457,Lapras,1,Bold,Leftovers,Surf,Attract,Confuse Ray,Sing,Water Absorb / Shell Armor, 0 / 0 /255/ 0 /255/ 0 ,401/185/284/206/289/156,156,205/94/145/105/147/80,80,
458,Crobat,1,Quirky,King's Rock,Sludge Bomb,Bite,Astonish,Screech,Inner Focus,170/170/ 0 /170/ 0 / 0 ,353/258/196/218/196/296,296,181/131/100/111/100/150,150,
459,Swampert,1,Adamant,Lum Berry,Earthquake,Counter,Rest,Curse,Torrent,170/ 0 /170/ 0 /170/ 0 ,383/281/258/185/258/156,156,196/143/131/94/131/80,80,
460,Gyarados,1,Careful,Lum Berry,Return,Bite,Thunder Wave,Dragon Dance,Intimidate,255/ 0 / 0 / 0 /255/ 0 ,394/286/194/140/328/198,198,202/145/99/72/167/101,101,
461,Snorlax,1,Adamant,Leftovers,Facade,Shadow Ball,Attract,Double Team,Immunity / Thick Fat, 0 /255/255/ 0 / 0 / 0 ,461/350/229/149/256/96,96,235/178/117/76/130/50,50,
462,Kingdra,1,Modest,Lum Berry,Hydro Pump,DragonBreath,Icy Wind,Attract,Swift Swim,255/ 0 / 0 /255/ 0 / 0 ,354/203/226/317/226/206,206,182/103/115/161/115/105,105,
463,Blissey,1,Bold,BrightPowder,Toxic,Double Team,Sing,Softboiled,Natural Cure / Serene Grace, 0 / 0 /255/ 0 /255/ 0 ,651/50/130/186/369/146,146,330/27/68/95/187/75,75,
464,Milotic,1,Modest,Lum Berry,Hydro Pump,Icy Wind,Recover,Mirror Coat,Marvel Scale,170/ 0 /170/170/ 0 / 0 ,373/140/236/305/286/198,198,191/72/120/155/145/101,101,
465,Arcanine,1,Adamant,King's Rock,Flamethrower,ExtremeSpeed,Crunch,Body Slam,Intimidate / Flash Fire, 0 /255/ 0 / 0 / 0 /255,321/350/196/212/196/289,289,165/178/100/108/100/147,147,
466,Salamence,1,Hardy,King's Rock,Dragon Claw,Aerial Ace,Headbutt,Rock Slide,Intimidate, 0 /255/ 0 / 0 / 0 /255,331/369/196/256/196/299,299,170/187/100/130/100/152,152,
467,Metagross,1,Adamant,Leftovers,Meteor Mash,Aerial Ace,Facade,Light Screen,Clear Body, 0 /170/ 0 / 0 /170/170,301/382/296/203/258/218,218,155/194/150/103/131/111,111,
468,Slaking,1,Adamant,Scope Lens,Yawn,Bulk Up,Swagger,Aerial Ace,Truant,170/ 0 /170/ 0 /170/ 0 ,483/391/278/203/208/236,236,246/198/141/103/106/120,120,
444,Jolteon,1,Modest,Cheri Berry,Thunderbolt,Thunder Wave,Attract,Protect,Volt Absorb, 0 / 0 / 0 /255/ 0 /255,271/149/156/350/226/359,359,140/76/80/178/115/182,182,
470,Medicham,2,Hardy,Salac Berry,Reversal,Endure,Psychic,Fake Out,Pure Power, 0 /255/ 0 / 0 / 0 /255,261/219/186/156/186/259,259,135/112/95/80/95/132,132,
471,Marowak,2,Adamant,Thick Club,Earthquake,Rock Slide,Swords Dance,Icy Wind,Rock Head / Lightningrod, 0 /255/ 0 / 0 / 0 /255,261/284/256/122/196/189,189,135/145/130/63/100/97,97,
472,Quagsire,2,Sassy,Leftovers,Curse,Attract,Yawn,AncientPower,Damp / Water Absorb, 0 / 0 /255/ 0 /255/ 0 ,331/206/269/166/251/95,95,170/105/137/85/128/49,49,
473,Misdreavus,2,Bold,Leftovers,Psychic,Attract,Thunder Wave,Confuse Ray,Levitate, 0 / 0 /255/255/ 0 / 0 ,261/140/240/269/206/206,206,135/72/123/137/105/105,105,
474,Fearow,2,Adamant,Focus Band,Drill Peck,Tri Attack,Attract,Pursuit,Keen Eye, 0 /255/ 0 / 0 / 0 /255,271/306/166/142/158/299,299,140/156/85/73/81/152,152,
475,Granbull,2,Quiet,White Herb,Overheat,Thunderbolt,Ice Punch,Facade,Intimidate, 0 / 0 / 0 /255/255/ 0 ,321/276/186/240/219/113,113,165/140/95/123/112/58,58,
476,Jynx,2,Impish,BrightPowder,Perish Song,Mean Look,Lovely Kiss,Protect,Oblivious,255/ 0 /255/ 0 / 0 / 0 ,334/136/185/239/226/226,226,172/70/95/121/115/115,115,
477,Dusclops,2,Impish,Leftovers,Toxic,Confuse Ray,Double Team,Protect,Pressure,170/ 0 /170/ 0 /170/ 0 ,263/176/371/140/338/86,86,136/90/188/72/171/45,45,
478,Dodrio,2,Adamant,King's Rock,Drill Peck,Double-Edge,Faint Attack,Protect,Run Away / Early Bird, 0 /255/ 0 / 0 / 0 /255,261/350/176/140/156/299,299,135/178/90/72/80/152,152,
479,Mr. Mime,2,Adamant,Liechi Berry,Baton Pass,Swagger,Psych Up,Psychic,Soundproof,170/ 0 /170/ 0 /170/ 0 ,263/138/208/212/318/216,216,136/72/106/108/161/110,110,
480,Lanturn,2,Docile,Salac Berry,Flail,Endure,Thunderbolt,Surf,Volt Absorb / Illuminate, 0 /255/ 0 /255/ 0 / 0 ,391/215/152/251/188/170,170,200/110/78/128/96/87,87,
481,Breloom,2,Docile,BrightPowder,Giga Drain,Leech Seed,Focus Punch,Spore,Effect Spore, 0 / 0 / 0 /255/ 0 /255,261/296/196/219/156/239,239,135/150/100/112/80/122,122,
482,Forretress,2,Adamant,Lum Berry,Earthquake,Double-Edge,Counter,Protect,Sturdy, 0 /255/ 0 / 0 /255/ 0 ,291/306/316/140/219/116,116,150/156/160/72/112/60,60,
483,Skarmory,2,Careful,BrightPowder,Spikes,Roar,Drill Peck,Toxic,Keen Eye / Sturdy,170/170/ 0 / 0 /170/ 0 ,313/238/316/104/239/176,176,161/121/160/54/122/90,90,
484,Whiscash,2,Hardy,Shell Bell,Surf,Earthquake,Spark,Future Sight,Oblivious, 0 /255/ 0 /255/ 0 / 0 ,361/255/182/251/178/156,156,185/130/93/128/91/80,80,
485,Xatu,2,Impish,Leftovers,Fly,Toxic,Confuse Ray,Attract,Synchronize / Early Bird,170/ 0 /170/ 0 /170/ 0 ,313/186/239/203/218/226,226,161/95/122/103/111/115,115,
486,Clefable,2,Adamant,Focus Band,Meteor Mash,Cosmic Power,Double Team,Follow Me,Cute Charm, 0 /255/255/ 0 / 0 / 0 ,331/262/245/185/216/156,156,170/134/125/94/110/80,80,
487,Hariyama,2,Quiet,Quick Claw,Cross Chop,Fire Punch,Ice Punch,ThunderPunch,Thick Fat / Guts, 0 /255/ 0 /255/ 0 / 0 ,429/339/156/196/156/122,122,219/172/80/101/80/63,63,
488,Raichu,2,Adamant,Lum Berry,Thunderbolt,Reversal,Endure,Agility,Static, 0 /255/ 0 / 0 / 0 /255,261/306/146/194/196/299,299,135/156/75/99/100/152,152,
489,Dewgong,2,Docile,Shell Bell,Blizzard,Double-Edge,Encore,Disable,Thick Fat, 0 /255/ 0 /255/ 0 / 0 ,321/239/196/239/226/176,176,165/122/100/122/115/90,90,
490,Manectric,2,Modest,Petaya Berry,Thunder,Rain Dance,Crunch,Roar,Static / Lightningrod, 0 / 0 / 0 /255/ 0 /255,281/167/156/339/156/309,309,145/85/80/172/80/157,157,
491,Vileplume,2,Bold,BrightPowder,Ingrain,Double Team,Toxic,Giga Drain,Chlorophyll,170/ 0 /170/ 0 /170/ 0 ,333/176/272/236/258/136,136,171/90/139/120/131/70,70,
492,Victreebel,2,Serious,Leftovers,Giga Drain,Sludge Bomb,Sleep Powder,Attract,Chlorophyll, 0 /255/ 0 /255/ 0 / 0 ,301/309/166/299/156/176,176,155/157/85/152/80/90,90,
493,Electrode,2,Modest,BrightPowder,Thunder,Rain Dance,Double Team,Swagger,Soundproof / Static,170/ 0 /170/ 0 /170/ 0 ,303/122/218/215/238/316,316,156/63/111/110/121/160,160,
494,Exploud,2,Quirky,Focus Band,SolarBeam,Sunny Day,Earthquake,Counter,Soundproof, 0 /255/ 0 /255/ 0 / 0 ,349/281/162/281/162/172,172,179/143/83/143/83/88,88,
495,Shiftry,2,Impish,Chesto Berry,Leech Seed,Dig,Double Team,Rest,Chlorophyll / Early Bird, 0 / 0 /255/ 0 /255/ 0 ,321/236/240/194/219/196,196,165/120/123/99/112/100,100,
496,Glalie,2,Quirky,Salac Berry,Explosion,Endure,Body Slam,Icy Wind,Inner Focus, 0 /255/ 0 / 0 / 0 /255,301/259/196/196/196/259,259,155/132/100/100/100/132,132,
497,Ludicolo,2,Modest,Shell Bell,Surf,Ice Beam,ThunderPunch,Fire Punch,Swift Swim / Rain Dish,255/ 0 / 0 /255/ 0 / 0 ,364/158/176/306/236/176,176,187/81/90/156/120/90,90,
498,Hypno,2,Modest,TwistedSpoon,Hypnosis,Nightmare,Dream Eater,Psychic,Insomnia, 0 / 0 /255/ 0 /255/ 0 ,311/163/239/200/329/170,170,160/84/122/102/167/87,87,
499,Golem,2,Adamant,Chesto Berry,Focus Punch,Substitute,Double Team,Rest,Rock Head / Sturdy,255/255/ 0 / 0 / 0 / 0 ,364/350/296/131/166/126,126,187/178/150/67/85/65,65,
500,Rhydon,2,Adamant,Quick Claw,Earthquake,Horn Drill,Rock Slide,Brick Break,Lightningrod / Rock Head, 0 /255/ 0 / 0 /255/ 0 ,351/394/276/113/189/116,116,180/200/140/58/97/60,60,
501,Alakazam,2,Modest,Lum Berry,Psychic,Calm Mind,Thunder Wave,Recover,Synchronize / Inner Focus, 0 / 0 /255/255/ 0 / 0 ,251/122/189/405/206/276,276,130/63/97/205/105/140,140,
502,Weezing,2,Adamant,Sitrus Berry,Memento,Sludge Bomb,Facade,Destiny Bond,Levitate,255/255/ 0 / 0 / 0 / 0 ,334/306/276/185/176/156,156,172/156/140/94/90/80,80,
503,Kangaskhan,2,Adamant,Lum Berry,Crush Claw,Shadow Ball,Attract,Rest,Early Bird,255/255/ 0 / 0 / 0 / 0 ,414/317/196/104/196/216,216,212/161/100/54/100/110,110,
504,Electabuzz,2,Quirky,Leftovers,Thunder,Rain Dance,Attract,Focus Punch,Static, 0 /170/ 0 /170/ 0 /170,271/244/150/268/206/288,288,140/124/77/136/105/146,146,
505,Tauros,2,Adamant,Chesto Berry,Double-Edge,Earthquake,Double Team,Rest,Intimidate,255/255/ 0 / 0 / 0 / 0 ,354/328/226/104/176/256,256,182/167/115/54/90/130,130,
506,Slowbro,2,Modest,Leftovers,Surf,Ice Beam,Calm Mind,Yawn,Oblivious / Own Tempo, 0 /255/ 0 / 0 /255/ 0 ,331/224/256/259/259/96,96,170/114/130/132/132/50,50,
507,Slowking,2,Modest,Shell Bell,Yawn,Thunder Wave,Surf,Psychic,Oblivious / Own Tempo, 0 / 0 /255/255/ 0 / 0 ,331/167/259/328/256/96,96,170/85/132/167/130/50,50,
508,Miltank,2,Careful,Leftovers,Focus Punch,Shadow Ball,Attract,Thunder Wave,Thick Fat,170/170/ 0 / 0 /170/ 0 ,373/238/246/104/239/236,236,191/121/125/54/122/120,120,
509,Altaria,2,Bold,Leftovers,Perish Song,DragonBreath,Pursuit,Attract,Natural Cure,170/ 0 /170/ 0 /170/ 0 ,333/158/283/176/288/196,196,171/81/144/90/146/100,100,
510,Nidoqueen,2,Adamant,Shell Bell,Double-Edge,Earthquake,Aerial Ace,Rock Slide,Poison Point,255/255/ 0 / 0 / 0 / 0 ,384/289/210/167/206/188,188,197/147/107/85/105/96,96,
511,Nidoking,2,Adamant,Shell Bell,Mega Kick,Earthquake,Shadow Ball,Brick Break,Poison Point,255/255/ 0 / 0 / 0 / 0 ,366/311/190/185/186/206,206,188/158/97/94/95/105,105,
512,Magmar,2,Modest,Quick Claw,Fire Blast,SmokeScreen,ThunderPunch,Confuse Ray,Flame Body, 0 / 0 / 0 /255/ 0 /255,271/203/150/328/206/285,285,140/103/77/167/105/145,145,
513,Cradily,2,Adamant,Sitrus Berry,Earthquake,AncientPower,Swagger,Psych Up,Suction Cups,255/255/ 0 / 0 / 0 / 0 ,376/287/230/178/250/122,122,193/146/117/91/127/63,63,
514,Armaldo,2,Adamant,Quick Claw,Iron Tail,AncientPower,Brick Break,Knock Off,Battle Armor,255/255/ 0 / 0 / 0 / 0 ,354/383/236/158/196/126,126,182/194/120/81/100/65,65,
515,Golduck,2,Quirky,Lum Berry,Cross Chop,Surf,Swagger,Psych Up,Damp / Cloud Nine, 0 /170/ 0 /170/ 0 /170,301/242/192/268/196/248,248,155/123/98/136/100/126,126,
516,Rapidash,2,Docile,Leftovers,Fire Blast,Bounce,Double Team,Attract,Run Away / Flash Fire, 0 /170/ 0 /170/ 0 /170,271/278/176/238/196/288,288,140/141/90/121/100/146,146,
517,Muk,2,Hardy,Chesto Berry,Curse,Rest,Sludge Bomb,DynamicPunch,Stench / Sticky Hold, 0 /255/255/ 0 / 0 / 0 ,351/309/249/166/236/136,136,180/157/127/85/120/70,70,
518,Gengar,2,Adamant,Leftovers,Sludge Bomb,Shadow Ball,Confuse Ray,Will-O-Wisp,Levitate, 0 /255/ 0 / 0 / 0 /255,261/251/156/266/186/319,319,135/128/80/135/95/162,162,
519,Ampharos,2,Hardy,BrightPowder,ThunderPunch,Fire Punch,Focus Punch,Thunder Wave,Static, 0 /255/ 0 /255/ 0 / 0 ,321/249/186/329/216/146,146,165/127/95/167/110/75,75,
520,Scizor,2,Adamant,Quick Claw,Silver Wind,Steel Wing,Swords Dance,Light Screen,Swarm, 0 /255/ 0 / 0 /255/ 0 ,281/394/236/131/259/166,166,145/200/120/67/132/85,85,
521,Heracross,2,Jolly,Lum Berry,Megahorn,Earthquake,Attract,Bulk Up,Swarm / Guts,255/ 0 / 0 / 0 / 0 /255,364/286/186/104/226/295,295,187/145/95/54/115/150,150,
522,Ursaring,2,Adamant,Quick Claw,Double-Edge,Earthquake,Brick Break,Counter,Guts,255/255/ 0 / 0 / 0 / 0 ,384/394/186/167/186/146,146,197/200/95/85/95/75,75,
523,Houndoom,2,Modest,Lum Berry,Fire Blast,Crunch,Roar,Rest,Early Bird / Flash Fire, 0 / 0 / 0 /255/ 0 /255,291/194/136/350/196/289,289,150/99/70/178/100/147,147,
